,artist.name,track.name,album.name,album.type,popularity,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode
69,Majid Jordan,Caught Up (feat. Khalid),Caught Up (feat. Khalid),single,67,rnb,0.678,0.438,9,-8.847,0.0577,0.29,0,0.0838,0.501,81.498,4,A,minor,A minor
70,Daniel Caesar,LOVE AGAIN,CASE STUDY 01,album,66,rnb,0.553,0.441,5,-6.411,0.0918,0.41,2.57E-06,0.107,0.525,76.988,4,F,major,F major
71,DJ Khaled,Just Us (feat. SZA),Father Of Asahd,album,65,rnb,0.639,0.859,9,-2.758,0.147,0.135,0,0.129,0.566,93.132,4,A,minor,A minor
72,Ari Lennox,BMO,Shea Butter Baby,album,65,rnb,0.72,0.647,1,-5.411,0.0642,0.0116,0.000206,0.571,0.809,157.877,4,C#,minor,C# minor
73,Jessie Reyez,Imported (with 6LACK),Imported (with 6LACK),single,65,rnb,0.726,0.636,7,-3.615,0.0496,0.199,0,0.111,0.362,111.097,4,G,major,G major
74,SiR,You Can't Save Me,Chasing Summer,album,64,rnb,0.623,0.585,0,-7.895,0.124,0.0628,0.000155,0.119,0.538,158.273,4,C,major,C major
75,Lucky Daye,Roll Some Mo,Painted,album,63,rnb,0.389,0.507,11,-9.026,0.0621,0.259,0.0441,0.142,0.364,74.718,4,B,major,B major
76,Dreamville,Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Revenge Of The Dreamers III,album,63,rnb,0.664,0.61,7,-6.432,0.339,0.145,0,0.097,0.472,76.024,4,G,minor,G minor
77,Alicia Keys,Show Me Love,Show Me Love,single,62,rnb,0.531,0.491,5,-5.47,0.042,0.447,0,0.0703,0.521,129.38,4,F,minor,F minor
78,Jhené Aiko,Triggered - Remix,Triggered (Remix),single,62,rnb,0.487,0.439,0,-11.316,0.392,0.742,0,0.091,0.369,91.582,4,C,major,C major
79,Teyana Taylor,How You Want It?,How You Want It?,single,61,rnb,0.492,0.698,5,-2.801,0.184,0.292,0,0.0989,0.749,94.59,4,F,minor,F minor
80,YK Osiris,Ride,The Golden Child,album,60,rnb,0.691,0.621,7,-4.262,0.0538,0.341,0,0.132,0.392,132.946,4,G,minor,G minor
81,Kiana Ledé,EX - Remix,EX (Remix),single,58,rnb,0.775,0.537,0,-6.978,0.141,0.326,0,0.0792,0.403,73.484,4,C,major,C major
82,Ncredible Gang,"NoBody Else (feat. Nick Cannon, Ty Dolla $ign & Jacquees)","NoBody Else (feat. Nick Cannon, Ty Dolla $ign and Jacquees)",single,55,rnb,0.801,0.501,0,-6.364,0.269,0.188,0,0.0211,0.902,140.077,4,C,major,C major
83,H.E.R.,Hard Place - Single Version,I Used To Know Her,album,55,rnb,0.61,0.765,9,-4.095,0.0966,0.122,1.69E-05,0.318,0.439,160.046,4,A,major,A major
84,Dreamville,Self Love (with Ari Lennox & Bas feat. Baby Rose),Revenge Of The Dreamers III,album,54,rnb,0.761,0.697,5,-6.164,0.0568,0.186,0,0.126,0.197,106.051,4,F,major,F major
85,Rotimi,Love Riddim,Love Riddim,single,51,rnb,0.781,0.633,4,-5.616,0.0351,0.311,7.27E-06,0.0964,0.795,107.074,4,E,minor,E minor
86,Tank,I Don't Think You're Ready,ELEVATION,album,51,rnb,0.782,0.491,2,-5.554,0.26,0.641,0.00743,0.241,0.664,135.961,4,D,major,D major
87,Robin Thicke,That's What Love Can Do,That's What Love Can Do,single,49,rnb,0.649,0.414,6,-7.89,0.0259,0.443,0.00913,0.157,0.376,85.957,4,F#,major,F# major
88,PJ Morton,BUILT FOR LOVE (feat. Jazmine Sullivan),PAUL,album,48,rnb,0.657,0.455,5,-10.586,0.0667,0.586,1.87E-05,0.18,0.488,129.943,4,F,major,F major
89,Beyoncé,Before I Let Go - Homecoming Live Bonus Track,HOMECOMING: THE LIVE ALBUM,album,46,rnb,0.71,0.844,6,-5.589,0.0968,0.0699,0,0.354,0.469,103.009,4,F#,minor,F# minor
90,Raphael Saadiq,Something Keeps Calling (feat. Rob Bacon),Jimmy Lee,album,44,rnb,0.614,0.657,7,-7.081,0.0361,0.238,1.85E-05,0.452,0.561,79.978,4,G,major,G major
91,Luke James,go girl,go girl,single,38,rnb,0.703,0.705,6,-3.984,0.154,0.153,0,0.49,0.708,140.934,4,F#,minor,F# minor
92,The Weeknd,Heartless,Heartless,single,14,rnb,0.531,0.75,10,-5.831,0.111,0.00632,7.60E-05,0.117,0.198,169.954,4,A#,minor,A# minor
93,Tory Lanez,Jerry Sprunger (with T-Pain),Jerry Sprunger (with T-Pain),single,2,rnb,0.694,0.744,0,-5.334,0.297,0.144,0,0.0905,0.425,99.941,4,C,minor,C minor
94,Summer Walker,Girls Need Love (with Drake) - Remix,Girls Need Love (with Drake) [Remix],single,0,rnb,0.656,0.432,6,-9.481,0.217,0.443,0,0.132,0.0897,97.022,4,F#,minor,F# minor
95,Pink Sweat$,Honesty,Honesty,single,0,rnb,0.616,0.204,6,-11.421,0.0331,0.919,0,0.106,0.419,79.826,4,F#,minor,F# minor
96,Arin Ray,Change (with Kehlani),Change (with Kehlani),single,0,rnb,0.712,0.473,6,-4.413,0.0693,0.057,0,0.182,0.327,86.965,4,F#,minor,F# minor
97,Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,single,88,hiphop,0.598,0.427,7,-8.764,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,4,G,minor,G minor
98,Mustard,Ballin' (with Roddy Ricch),Perfect Ten,album,84,hiphop,0.809,0.545,7,-6.678,0.0735,0.392,0,0.151,0.244,97.008,4,G,major,G major
99,Post Malone,Wow.,Hollywood's Bleeding,album,84,hiphop,0.829,0.539,11,-7.359,0.208,0.136,1.78E-06,0.103,0.388,99.96,4,B,minor,B minor
100,DaBaby,BOP,KIRK,album,84,hiphop,0.769,0.787,11,-3.909,0.367,0.189,0,0.129,0.836,126.77,4,B,major,B major
101,Juice WRLD,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),single,84,hiphop,0.474,0.631,5,-5.884,0.343,0.0687,0,0.132,0.425,180.051,4,F,minor,F minor
102,Meek Mill,Going Bad (feat. Drake),Championships,album,82,hiphop,0.889,0.496,4,-6.365,0.0905,0.259,0,0.252,0.544,86.003,4,E,minor,E minor
103,Polo G,Pop Out (feat. Lil Tjay),Die A Legend,album,82,hiphop,0.772,0.639,1,-7.119,0.467,0.15,0,0.0698,0.261,168.112,4,C#,major,C# major
104,Drake,Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,single,82,hiphop,0.831,0.502,10,-4.045,0.046,0.101,0,0.122,0.101,100.541,4,A#,minor,A# minor
105,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),Hoodie SZN,album,81,hiphop,0.581,0.662,9,-5.239,0.303,0.0153,0,0.111,0.434,93.023,4,A,major,A major
106,21 Savage,a lot,i am > i was,album,79,hiphop,0.837,0.636,1,-7.643,0.086,0.0395,0.00125,0.342,0.274,145.972,4,C#,major,C# major
107,Baby Keem,ORANGE SODA,DIE FOR MY BITCH,album,79,hiphop,0.83,0.564,1,-7.822,0.235,0.177,0,0.128,0.107,85.042,4,C#,major,C# major
108,Mustard,Pure Water (with Migos),Perfect Ten,album,79,hiphop,0.682,0.559,0,-5.545,0.127,0.174,0,0.344,0.137,202.015,4,C,major,C major
109,Ski Mask The Slump God,Faucet Failure,STOKELEY,album,78,hiphop,0.935,0.552,10,-9.373,0.335,0.111,0,0.0952,0.615,99.993,4,A#,minor,A# minor
110,Saweetie,My Type,ICY,album,77,hiphop,0.899,0.811,2,-6.294,0.258,0.000677,0,0.0672,0.587,105.038,4,D,major,D major
111,Lil Uzi Vert,Sanguine Paradise,Sanguine Paradise,single,77,hiphop,0.729,0.603,6,-6.736,0.0666,0.0948,0,0.113,0.207,134.972,4,F#,minor,F# minor
112,Young Thug,Hot (feat. Gunna),So Much Fun,album,76,hiphop,0.855,0.651,0,-8.044,0.235,0.063,0,0.0772,0.559,111.997,4,C,minor,C minor
113,Young Thug,The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),single,76,hiphop,0.796,0.586,4,-6.946,0.147,0.0247,0,0.132,0.179,97.981,4,E,minor,E minor
114,YoungBoy Never Broke Again,Make No Sense,AI YoungBoy 2,album,76,hiphop,0.876,0.733,10,-4.478,0.333,0.0208,0,0.0999,0.962,154.904,4,A#,minor,A# minor
115,Megan Thee Stallion,Cash Shit (feat. DaBaby),Fever,album,75,hiphop,0.921,0.635,1,-4.904,0.416,0.0218,0,0.0946,0.549,130.028,4,C#,major,C# major
116,Quality Control,Baby (Lil Baby feat. DaBaby),Quality Control: Control The Streets Volume 2,album,75,hiphop,0.97,0.463,10,-7.259,0.366,0.0957,0,0.151,0.46,108.003,4,A#,major,A# major
