word,n
선,9
순간을,9
쉿,9
신나게,9
싶은데,9
않을래,9
앞으로,9
얘기를,9
어둠,9
어디서,9
어차피,9
오늘이,9
올,9
우우우우,9
위험해,9
이상해,9
이제야,9
있는데,9
잠이,9
잡아줘,9
쟤가,9
전부를,9
전율이,9
제발,9
주는,9
채워,9
커진,9
틈,9
하나도,9
하루가,9
하루를,9
하얀,9
한꺼번에,9
해줘,9
했어,9
후회,9
흔한,9
心,9
127,8
anh,8
anya,8
artistic,8
bameuro,8
beat,8
before,8
bloom,8
burning,8
byeol,8
c'est,8
chaos,8
chattering,8
cut,8
devil,8
door,8
dori,8
dreams,8
drum,8
flow,8
geunyang,8
geuriwo,8
girlfriend,8
groo,8
guessin,8
had,8
head,8
honja,8
jul,8
leave,8
mam,8
meomchul,8
money,8
mr,8
naeil,8
negero,8
parade,8
runnin,8
scene,8
second,8
she,8
shen,8
song,8
sorry,8
story,8
trippin,8
ve,8
weh,8
whole,8
wihae,8
wonder,8
you'll,8
가까이,8
가끔은,8
가진,8
감고,8
갖고,8
거란,8
거울,8
거짓,8
거친,8
것을,8
계속해,8
고마워,8
곳으로,8
나다운,8
날라라라라라라라라라라리,8
내일도,8
내일이면,8
놨다,8
눈물,8
눈부시게,8
느낄,8
다같이,8
달,8
달빛,8
데려가,8
둘의,8
뒤에,8
들,8
들려,8
떨리는,8
뛰는,8
뛰어,8
만은,8
말들,8
말야,8
말없이,8
말은,8
말하고,8
맘대로,8
맞아,8
맞추고,8
맴도는,8
몇,8
물들어,8
뭐든,8
믿고,8
밀어내,8
발끝까지,8
밝은,8
밤의,8
밤하늘에,8
버리고,8
번져,8
변하지,8
별빛,8
봄이,8
불빛,8
불안해,8
사랑인,8
사이로,8
소리쳐,8
속의,8
수는,8
수도,8
시간에,8
시련이,8
싫은,8
아직은,8
얘기,8
얘길,8
어,8
어쩔,8
열어,8
영원할,8
옆엔,8
온통,8
올라,8
완벽해,8
우리끼리,8
우연이,8
원래,8
이끌려,8
이유,8
입만,8
있어서,8
있으면,8
자릴,8
쟤쟤쟤,8
쟤쟤쟤쟤,8
좋겠어,8
좋아해요,8
준,8
진심이,8
짙은,8
짧은,8
차갑게,8
채운,8
초,8
취해,8
타고,8
타버릴,8
태양,8
파고들어,8
펼쳐진,8
행복해,8
향기에,8
환하게,8
흔들어,8
就,8
这,8
air,7
ajik,7
baro,7
bian,7
big,7
bitter,7
bomyeon,7
brake,7
brrrah,7
called,7
chaser,7
curious,7
each,7
gachi,7
gata,7
geosman,7
getting,7
gin,7
grow,7
hana,7
heartbeat,7
it'll,7
jangshigi,7
jeongmal,7
kind,7
kingdom,7
knot,7
lara,7
lookin,7
melody,7
moonchild,7
name,7
neukkyeo,7
niga,7
nunmul,7
ojik,7
promise,7
question,7
replay,7
sad,7
saving,7
should,7
shout,7
shy,7
slow,7
stage,7
sun,7
swish,7
those,7
three,7
video,7
vintage,7
wake,7
wish,7
ya'll,7
가득한,7
가만,7
가면,7
가슴이,7
갈게,7
걷는,7
걷잡을,7
겨울,7
곁엔,7
고개,7
곧,7
구름,7
그때가,7
금방,7
기다리고,7
기댈,7
기분이,7
기적,7
깊어져,7
깜짝,7
깨지,7
꿈은,7
끝나지,7
끝에,7
나니까,7
나랑,7
날아,7
남겨진,7
남달라,7
너만이,7
너무도,7
너에게만,7
노래를,7
녹아,7
놀라워,7
놀래,7
놈,7
놓치지,7
놔,7
눈엔,7
느껴지는,7
다르게,7
닿을,7
대신,7
대한민국,7
던져,7
돋아,7
동안,7
됐다,7
따뜻한,7
딱히,7
때도,7
때로는,7
떠,7
랄라,7
랄랄랄,7
만의,7
말이야,7
먼저,7
멈춰,7
멈췄으면,7
모르겠어,7
미소,7
미안하단,7
믿어,7
바라봐,7
바람아,7
바람처럼,7
바보,7
반복되는,7
버린,7
번만,7
보내,7
보낸,7
보여주고,7
보여줘,7
보이는,7
비워,7
비켜,7
빙,7
빛나고,7
사람들,7
사랑하는,7
사랑하지,7
사랑할,7
살아,7
새벽,7
생에도,7
소름,7
수만,7
숨결,7
슬픈,7
시간들,7
신경,7
심장,7
심장을,7
싹,7
아니길,7
아무리,7
안지,7
애가,7
애써,7
야,7
어디,7
어때,7
어울리는,7
어쩜,7
언제까지나,7
얼마나,7
없인,7
없잖아,7
열대야,7
오늘은,7
우주가,7
웃음,7
의,7
이리,7
이해,7
익숙한,7
인스타그램,7
인해,7
입술,7
있도록,7
있어야지,7
있잖아,7
자,7
잠,7
잠깐만,7
잠시,7
잡을게,7
중독돼,7
지나도,7
짙어져,7
쭉,7
차올라,7
처음부터,7
타오르는,7
특별한,7
팔,7
표정,7
하든,7
한번,7
함께한,7
身邊,7
156,6
act,6
ane,6
apeun,6
attaboy,6
award,6
aye,6
biweo,6
blossom,6
bonael,6
born,6
breathing,6
bright,6
bulleobwado,6
casa,6
chal,6
clap,6
cold,6
dan,6
dare,6
days,6
dedication,6
different,6
disas,6
done,6
dope,6
doubt,6
drink,6
eobsneun,6
foolish,6
freeze,6
fuckin,6
geos,6
grâce,6
haedo,6
heh,6
higher,6
history,6
ige,6
iksukan,6
il,6
impact,6
issneun,6
jaril,6
jeo,6
jiu,6
jue,6
kak,6
kiss,6
kkum,6
knock,6
lalalala,6
laugh,6
le,6
line,6
lips,6
lonely,6
lost,6
makes,6
memory,6
mirror,6
mot,6
nado,6
next,6
nothin,6
nuneul,6
ocean,6
pain,6
pd,6
place,6
red,6
rise,6
salang,6
sayin,6
se,6
seems,6
seumyeodeuldeushi,6
shooooot,6
shots,6
somethin,6
son,6
special,6
spend,6
star,6
stronger,6
subakk,6
takin,6
talkin,6
talking,6
tears,6
teojil,6
test,6
today,6
toxic,6
trying,6
type,6
um,6
un,6
until,6
villain,6
walkin,6
wears,6
white,6
winning,6
wonhaneun,6
words,6
worries,6
xiang,6
xin,6
yeope,6
zhe,6
가볍게,6
감싸,6
감정이,6
같아서,6
걍,6
걔가,6
거라,6
걱정하지,6
걸릴,6
겉으론,6
계절,6
고개를,6
고개만,6
귀엽지,6
그거면,6
그대를,6
그땐,6
그리는,6
그림자,6
기다렸던,6
기다린,6
기다릴,6
깊,6
깊게,6
까맣게,6
꺄,6
꽤,6
꿈만,6
끄덕여,6
끝까지,6
끝난,6
끝도,6
나면,6
나서,6
날이,6
날카로운,6
남들처럼,6
남자,6
내도,6
너너너나,6
너네,6
너네들은,6
너머,6
너와의,6
너잖아,6
넘으면,6
네게로,6
높은,6
놓은,6
누구도,6
눈빛에,6
느낌은,6
느리게,6
늘어져,6
늦은,6
님은,6
다를,6
당겨,6
당겨줘,6
당신의,6
닿기를,6
던지고,6
도대체,6
도시와,6
도시의,6
돌아갈,6
돌아보지도,6
되감아도,6
두려움,6
뒤,6
들이켜,6
따라서,6
떠나가시나,6
뜨거,6
뜨면,6
뜰래,6
마수리,6
만나고,6
만들,6
말투,6
머릿속이,6
머물러,6
먼,6
멀어지지,6
멈춰라,6
모를,6
모습,6
모태,6
몰라도,6
묶어,6
뭐래도,6
미련이,6
바라보면,6
박힌,6
발이,6
발자국,6
밝게,6
버려진,6
벌어,6
변해가는,6
보게,6
보여줄게,6
보일,6
봤자,6
부는,6
불러봐도,6
불빛이,6
불이,6
비밀의,6
빛으로,6
빨간,6
빵야,6
뻔해,6
사람들은,6
사람들이,6
사랑한단,6
사랑해요,6
사로잡지,6
사진,6
삶이,6
생각하면,6
선명한,6
속을,6
솔직히,6
수리,6
숨길,6
스며들듯이,6
시선이,6
시원하게,6
싶어요,6
아까워,6
아니라고,6
아마도,6
아무렇지,6
아쉬워,6
아파도,6
앉아,6
않지만,6
알어,6
앗,6
약속,6
어디로든,6
어디선가,6
어설픈,6
억만,6
억지로,6
언제,6
언제든지,6
얼굴,6
엑소의,6
여기까지,6
여기서,6
여긴,6
여자니까,6
영감아,6
옳지,6
옹헤야,6
와요,6
외로움,6
우리를,6
울고,6
웃으며,6
원,6
원하면,6
위를,6
유일한,6
이걸,6
이름을,6
이별이,6
이토록,6
인생,6
일어나,6
자극해,6
잠든,6
잡은,6
조금만,6
주길,6
지금도,6
지친,6
진짤,6
찾는,6
찾아,6
찾아낸,6
찾을,6
찾지,6
척하는,6
첫,6
춰,6
커져,6
태워,6
태풍이,6
텐데,6
투명한,6
튀,6
틈이,6
티가,6
파도가,6
팔을,6
피어난,6
하나의,6
하면,6
하얗게,6
한가득,6
할래,6
함부로,6
햇살,6
햇살이,6
혼란,6
혼자가,6
휘몰아친,6
힘껏,6
힘을,6
像,6
8,5
after,5
airplane,5
algo,5
already,5
aneseo,5
anhge,5
anyone,5
anyway,5
atta,5
beats,5
beonjeo,5
block,5
boda,5
boneun,5
brand,5
catch,5
chain,5
colors,5
couldn't,5
crying,5
debut,5
doesn't,5
eotteon,5
face,5
fact,5
falling,5
fan,5
felt,5
find,5
flashin,5
forget,5
front,5
gaseum,5
geotcheoreom,5
geudae,5
hago,5
haneun,5
him,5
hyanghae,5
hyung,5
i'ma,5
inneun,5
inside,5
ireoke,5
jageukae,5
jageun,5
jeonhaejyeo,5
jitge,5
job,5
joh,5
ken,5
kill,5
kinda,5
kkaman,5
late,5
leavin,5
lessons,5
letting,5
livin,5
longer,5
loud,5
lover,5
machi,5
magic,5
malhae,5
mameun,5
many,5
matgyeo,5
memories,5
meomulleojwo,5
mood,5
nareul,5
neoegero,5
neoneun,5
neoya,5
noraega,5
pagodeureo,5
paradise,5
part,5
past,5
peux,5
plus,5
pray,5
rock,5
sick,5
sip,5
sok,5
sometimes,5
starlight,5
start,5
subakke,5
super,5
sure,5
switch,5
ta,5
talked,5
te,5
teni,5
teol,5
these,5
thought,5
through,5
tick,5
times,5
tock,5
volume,5
wae,5
walk,5
watch,5
wihan,5
wild,5
ye,5
yong,5
you'd,5
yourself,5
가기,5
가둬,5
가질,5
간다,5
간절히,5
감으면,5
감은,5
거니깐,5
거라고,5
거면,5
거예요,5
거침없이,5
걱정,5
걱정은,5
건데,5
걷던,5
걸어가,5
것은,5
곁에서,5
곁을,5
곳에,5
공간,5
관심,5
괜히,5
궁금해,5
귀,5
귀를,5
그날,5
금,5
기분은,5
기억은,5
기억이,5
길막마,5
깊숙이,5
꺼진,5
꽃을,5
꾸는,5
꿈꿔왔던,5
끝내,5
끝없는,5
끝을,5
나나,5
나만의,5
나쁘게,5
나잖아,5
나타난,5
날려,5
날아라,5
내게서,5
너네는,5
너니까,5
너만을,5
너무나도,5
너인,5
넓은,5
넘쳐,5
노랠,5
녹여줘,5
놀라,5
높게,5
눈과,5
눈빛이,5
다가오는,5
다리,5
달콤하게,5
당연한,5
닿은,5
대,5
더욱,5
던져버려,5
덮친,5
돌아,5
돌아가,5
돌아와,5
되는,5
되지,5
될까,5
두렵지,5
